4947838651	32	5
4947838651	48	4
4947838651	97	3
4947838651	110	4
4947838651	115	4
4947831847	1	5
4947831847	32	4
4947831847	48	5
4947831847	61	4
4947831847	115	5
4947825098	32	5
4947825098	48	4
4947825098	61	3
4947825098	64	4
4947825098	82	3
4947824596	32	4
4947824596	48	5
4947824596	97	4
4947824596	115	5
4947824596	121	5
4947824578	18	4
4947824578	32	3
4947824578	108	4
4947824578	115	3
4947824578	121	4
4947789630	32	5
4947789630	39	5
4947789630	48	5
4947789630	61	5
4947789630	115	5
4947773358	32	5
4947773358	44	5
4947773358	61	5
4947773358	96	5
4947773358	115	4
4947767004	32	2
4947767004	48	4
4947767004	54	4
4947767004	61	3
4947767004	115	2
4947760731	32	3
4947760731	61	3
4947760731	77	4
4947760731	82	3
4947760731	83	4
4947733719	15	4
4947733719	32	5
4947733719	61	3
4947733719	64	3
4947733719	115	4
4947730920	32	5
4947730920	61	5
4947730920	97	5
4947730920	115	5
4947730920	120	5
4947727071	32	5
4947727071	39	4
4947727071	86	4
4947727071	115	4
4947727071	121	4
4947721509	32	3
4947721509	48	3
4947721509	88	4
4947721509	115	5
4947721509	121	4
4947711210	32	4
4947711210	44	5
4947711210	61	4
4947711210	115	4
4947711210	121	3
4947709370	18	5
4947709370	32	5
4947709370	48	5
4947709370	61	5
4947709370	115	5
4947706631	32	3
4947706631	61	3
4947706631	97	4
4947706631	115	5
4947706631	125	4
4947690426	25	4
4947690426	32	3
4947690426	61	4
4947690426	110	3
4947690426	115	5
4947684519	32	4
4947684519	48	4
4947684519	61	3
4947684519	110	3
4947684519	115	4
4947683508	32	4
4947683508	48	5
4947683508	97	3
4947683508	121	5
4947682756	32	5
4947682756	48	5
4947682756	61	5
4947682756	115	5
4947682756	150	4
4947679512	32	5
4947679512	48	4
4947679512	110	4
4947679512	148	4
4947679512	149	3
4947674337	25	5
4947674337	32	5
4947674337	39	5
4947674337	48	4
4947674337	110	5
4947672339	32	4
4947672339	48	4
4947672339	110	4
4947672339	115	4
4947672339	130	4
4947656779	32	3
4947656779	48	3
4947656779	82	3
4947656779	97	4
4947656779	115	5
4947653809	32	5
4947653809	44	5
4947653809	61	5
4947653809	115	5
4947653809	126	4
4947649311	18	5
4947649311	32	4
4947649311	89	4
4947649311	115	5
4947649311	121	4
4947646084	18	5
4947646084	32	5
4947646084	61	4
4947646084	115	4
4947646084	147	5
4947642914	32	4
4947642914	39	4
4947642914	97	3
4947642914	110	2
4947642914	115	3
4947624976	32	4
4947624976	48	5
4947624976	82	4
4947624976	111	3
4947624976	121	5
4947622776	32	5
4947622776	77	5
4947622776	86	5
4947622776	121	5
4947622776	146	5
4947609400	32	4
4947609400	71	4
4947609400	115	3
4947609400	121	3
4947599289	32	5
4947599289	48	4
4947599289	49	5
4947599289	115	5
4947599289	121	5
4947586527	32	4
4947586527	61	4
4947586527	97	4
4947586527	110	3
4947586527	115	5
4947586171	32	4
4947586171	48	4
4947586171	97	3
4947586171	112	3
4947586171	115	3
4947586119	32	5
4947586119	48	4
4947586119	86	4
4947586119	110	4
4947586119	115	5
4947568270	32	3
4947568270	39	1
4947568270	44	3
4947568270	77	1
4947568270	115	4
4947565146	32	5
4947565146	39	5
4947565146	61	4
4947565146	115	4
4947565146	122	5
4947562471	1	3
4947562471	15	3
4947562471	16	4
4947562471	32	5
4947562471	64	2
4947560538	32	4
4947560538	48	4
4947560538	82	5
4947560538	110	5
4947560538	115	5
4947558786	15	3
4947558786	61	3
4947558786	115	3
4947558786	143	4
4947558786	145	3
4947558243	16	4
4947558243	32	4
4947558243	48	4
4947558243	115	4
4947558243	121	5
4947550400	18	4
4947550400	32	3
4947550400	48	3
4947550400	115	4
4947550400	144	3
4947536273	32	5
4947536273	39	4
4947536273	48	4
4947536273	110	4
4947536273	115	3
4947532489	1	3
4947532489	32	3
4947532489	48	3
4947532489	61	3
4947532489	115	3
4947529168	1	3
4947529168	32	3
4947529168	61	4
4947529168	115	4
4947529168	122	4
